Order_ID,Date_Time,Category,Demand_Level,Traffic_Congestion,Delivery_Mode,Driver_Availability,Distance_km,Base_Price,Weather_Impact,Special_Event,Payment_Method,Final_Price
2028,2025-03-24 04:22:00,Groceries,Low,Light,Scheduled,High,0.9,6.02,Stormy,Festival,E-Wallet,7.61
2029,2025-03-15 03:56:00,Electronics,High,Light,Standard,Medium,9.9,4.57,Stormy,Holiday,E-Wallet,9.27
2030,2025-03-03 11:07:00,Pharmacy,Medium,Heavy,Scheduled,Low,5.2,2.49,Rainy,None,E-Wallet,4.61
2031,2025-03-18 15:58:00,Groceries,Medium,Light,Scheduled,Low,1.3,11.75,Rainy,Holiday,UPI,23.59
2032,2025-03-18 23:36:00,Electronics,Medium,Light,Standard,Low,6.3,9.19,Rainy,Sports Event,UPI,20.5
2033,2025-03-26 22:20:00,Food Delivery,Low,Moderate,Express,Low,2.1,10.4,Stormy,None,Cash,24.98
2034,2025-03-11 07:43:00,Pharmacy,Medium,Moderate,Express,High,7.9,14.8,Stormy,Sports Event,Cash,35.2
2035,2025-03-30 02:20:00,Electronics,Medium,Moderate,Scheduled,Medium,1.9,4.3,Stormy,Holiday,Cash,7.31
2036,2025-03-07 00:36:00,Electronics,High,Moderate,Standard,High,7.2,13.28,Stormy,Festival,Credit Card,26.66
2037,2025-03-29 20:16:00,Electronics,High,Light,Express,Medium,2.9,6.95,Rainy,Sports Event,Debit Card,19.73
2038,2025-03-14 14:46:00,Electronics,Medium,Moderate,Express,Low,9.5,4.23,Rainy,Sports Event,Cash,14.53
2039,2025-03-29 18:14:00,Groceries,Low,Moderate,Scheduled,Low,5.9,10.86,Stormy,None,UPI,16.77
2040,2025-03-30 15:34:00,Groceries,Low,Light,Scheduled,High,5.8,3.09,Snowy,Festival,Credit Card,3.9
2041,2025-03-23 00:26:00,Fashion,Low,Light,Express,Low,2.9,3.01,Snowy,None,Credit Card,6.57
2042,2025-03-26 13:26:00,Pharmacy,Low,Heavy,Scheduled,Low,5.8,8.38,Stormy,None,Credit Card,14.12
2043,2025-03-03 08:02:00,Pharmacy,High,Light,Scheduled,Medium,9.3,14.15,Snowy,None,E-Wallet,19.87
2044,2025-03-13 10:37:00,Pharmacy,Medium,Moderate,Express,Low,3.7,11.41,Snowy,None,Debit Card,30.15
2045,2025-03-15 01:50:00,Electronics,Low,Heavy,Standard,Low,1.9,13.09,Clear,None,E-Wallet,20.42
2046,2025-03-22 13:33:00,Groceries,Medium,Light,Express,Low,1.4,12.66,Clear,Sports Event,Credit Card,32.95
2047,2025-03-25 19:59:00,Pharmacy,Low,Heavy,Standard,Low,8.3,14.82,Rainy,Sports Event,Debit Card,36.07
2048,2025-03-24 00:51:00,Electronics,High,Moderate,Standard,High,3.7,3.46,Stormy,Festival,Cash,6.95
2049,2025-03-14 16:03:00,Food Delivery,High,Light,Express,High,1.4,13.27,Rainy,Holiday,E-Wallet,33.91
2050,2025-03-21 08:35:00,Groceries,Medium,Moderate,Scheduled,Low,4.3,9.02,Clear,None,UPI,12.77
2051,2025-03-13 17:25:00,Food Delivery,Medium,Moderate,Standard,High,5.7,4.49,Rainy,Festival,Credit Card,7.63
2052,2025-03-23 06:07:00,Pharmacy,Low,Moderate,Standard,High,4.1,4.88,Clear,Holiday,Credit Card,6.28
2053,2025-03-26 16:47:00,Electronics,Low,Moderate,Standard,High,4.0,13.92,Rainy,Festival,Credit Card,21.5
2054,2025-03-03 09:52:00,Pharmacy,High,Light,Scheduled,High,8.9,13.75,Rainy,None,Cash,17.37
2055,2025-03-13 01:29:00,Food Delivery,Medium,Moderate,Standard,High,3.2,12.7,Snowy,None,Debit Card,16.6
2056,2025-03-28 11:08:00,Electronics,Low,Heavy,Express,High,9.5,4.14,Clear,None,UPI,6.26
2057,2025-03-22 19:15:00,Electronics,Medium,Light,Scheduled,Medium,6.9,2.99,Rainy,None,Debit Card,3.55
2058,2025-03-04 01:20:00,Pharmacy,Medium,Moderate,Standard,Medium,4.9,7.63,Stormy,None,E-Wallet,11.08
2059,2025-03-10 11:06:00,Food Delivery,High,Heavy,Scheduled,High,6.2,12.55,Clear,Holiday,Cash,20.62
2060,2025-03-22 00:03:00,Food Delivery,Medium,Moderate,Express,High,2.2,14.44,Snowy,Festival,UPI,34.34
2061,2025-03-08 00:00:00,Groceries,High,Moderate,Scheduled,High,5.6,3.14,Stormy,Sports Event,Cash,5.67
2062,2025-03-28 20:23:00,Electronics,Medium,Heavy,Standard,Medium,6.9,7.46,Snowy,Festival,UPI,15.36
2063,2025-03-12 10:20:00,Food Delivery,Low,Moderate,Scheduled,Low,9.6,7.15,Rainy,Sports Event,E-Wallet,14.36
2064,2025-03-25 20:23:00,Pharmacy,High,Moderate,Express,High,9.4,6.56,Rainy,None,UPI,14.18
2065,2025-03-02 23:18:00,Electronics,Medium,Heavy,Scheduled,Medium,1.8,7.84,Rainy,Sports Event,E-Wallet,14.53
2066,2025-03-30 23:25:00,Fashion,Low,Light,Express,Medium,8.9,9.22,Snowy,None,E-Wallet,15.49
2067,2025-03-30 22:18:00,Groceries,Medium,Moderate,Standard,Low,3.5,13.65,Stormy,Sports Event,Cash,33.5
2068,2025-03-16 14:02:00,Fashion,Medium,Heavy,Standard,High,9.6,3.36,Clear,None,Debit Card,3.99
2069,2025-03-27 19:23:00,Food Delivery,Medium,Moderate,Standard,High,6.7,3.87,Snowy,Sports Event,Cash,6.57
2070,2025-03-17 10:35:00,Fashion,High,Moderate,Standard,High,2.9,10.42,Stormy,None,Debit Card,16.09
2071,2025-03-11 18:38:00,Groceries,High,Light,Express,Low,5.7,3.09,Snowy,None,UPI,8.77
2072,2025-03-19 11:39:00,Food Delivery,Low,Light,Express,Low,7.1,12.36,Stormy,None,UPI,26.99
2073,2025-03-23 13:54:00,Electronics,Medium,Light,Standard,High,7.9,9.06,Clear,Sports Event,Debit Card,11.66
2074,2025-03-25 11:46:00,Fashion,Low,Moderate,Scheduled,Medium,9.5,2.95,Clear,Holiday,Debit Card,3.8
2075,2025-03-14 19:28:00,Electronics,Low,Moderate,Standard,High,2.4,5.1,Snowy,None,Debit Card,6.06
2076,2025-03-26 16:54:00,Fashion,High,Light,Standard,High,3.1,4.45,Snowy,None,Debit Card,6.25
2077,2025-03-04 21:39:00,Fashion,Medium,Moderate,Standard,High,2.8,11.91,Rainy,Holiday,E-Wallet,20.23
2078,2025-03-04 00:27:00,Fashion,High,Moderate,Scheduled,Low,8.7,5.53,Snowy,Holiday,Debit Card,14.43
2079,2025-03-19 06:15:00,Fashion,High,Moderate,Standard,Low,9.1,11.46,Rainy,Sports Event,E-Wallet,33.23
2080,2025-03-19 22:07:00,Pharmacy,High,Moderate,Standard,Medium,5.0,11.54,Clear,Festival,Cash,21.45
2081,2025-03-26 18:30:00,Food Delivery,High,Light,Standard,Medium,5.2,10.47,Stormy,Sports Event,UPI,21.23
2082,2025-03-08 11:20:00,Pharmacy,Low,Light,Scheduled,Low,10.0,8.82,Clear,Festival,Credit Card,13.42
2083,2025-03-04 06:51:00,Electronics,Medium,Moderate,Standard,Medium,8.9,10.42,Snowy,None,Cash,15.13
2084,2025-03-17 22:50:00,Fashion,High,Heavy,Standard,Low,6.9,7.73,Snowy,None,Debit Card,18.81
2085,2025-03-11 10:13:00,Pharmacy,Low,Moderate,Scheduled,Medium,8.5,6.83,Rainy,Sports Event,E-Wallet,10.55
2086,2025-03-15 12:34:00,Groceries,Low,Moderate,Scheduled,High,7.3,13.99,Stormy,Holiday,Credit Card,19.45
2087,2025-03-30 07:09:00,Food Delivery,High,Moderate,Standard,Medium,6.0,10.89,Clear,Sports Event,E-Wallet,20.24
2088,2025-03-30 10:37:00,Food Delivery,High,Light,Scheduled,Low,6.8,7.49,Stormy,None,Cash,13.67
2089,2025-03-28 17:48:00,Food Delivery,Low,Heavy,Express,High,6.8,2.65,Snowy,Sports Event,Cash,6.25
2090,2025-03-02 23:02:00,Fashion,High,Heavy,Scheduled,Medium,4.9,7.23,Rainy,Sports Event,E-Wallet,15.84
2091,2025-03-26 17:10:00,Groceries,Low,Heavy,Express,Low,8.0,8.26,Rainy,Sports Event,E-Wallet,28.14
2092,2025-03-22 12:33:00,Food Delivery,High,Heavy,Scheduled,Low,6.0,4.75,Snowy,None,Credit Card,10.4
2093,2025-03-07 16:51:00,Fashion,Medium,Light,Standard,Medium,4.6,3.56,Clear,Sports Event,Cash,5.09
2094,2025-03-02 09:44:00,Fashion,Medium,Heavy,Standard,Medium,4.5,2.25,Snowy,None,Debit Card,3.56
2095,2025-03-16 22:39:00,Food Delivery,Medium,Moderate,Scheduled,Medium,4.7,9.47,Clear,None,Debit Card,10.31
2096,2025-03-10 15:36:00,Electronics,Medium,Moderate,Scheduled,Low,3.7,7.44,Clear,Festival,Credit Card,13.69
2097,2025-03-28 21:59:00,Pharmacy,High,Moderate,Standard,Low,6.1,2.38,Stormy,Festival,Debit Card,6.9
2098,2025-03-30 20:09:00,Electronics,High,Light,Standard,High,1.0,5.03,Rainy,Holiday,Cash,9.18
2099,2025-03-23 03:19:00,Food Delivery,Medium,Moderate,Standard,Medium,1.1,13.33,Snowy,Sports Event,Credit Card,25.16
2100,2025-03-11 23:43:00,Food Delivery,Low,Light,Standard,Medium,7.2,3.19,Clear,Festival,Cash,4.15
2101,2025-03-05 22:09:00,Food Delivery,High,Light,Express,Medium,4.7,5.56,Snowy,Holiday,Credit Card,15.79
2102,2025-03-10 09:37:00,Pharmacy,High,Moderate,Scheduled,High,9.3,4.2,Stormy,Sports Event,E-Wallet,7.59
2103,2025-03-20 11:28:00,Fashion,Medium,Heavy,Express,High,2.0,7.88,Rainy,Sports Event,Cash,20.45
2104,2025-03-29 13:36:00,Electronics,High,Moderate,Standard,Medium,6.6,6.25,Snowy,Sports Event,Credit Card,13.94
2105,2025-03-27 01:15:00,Food Delivery,Medium,Heavy,Standard,Low,2.7,8.04,Rainy,Holiday,E-Wallet,21.52
2106,2025-03-29 09:49:00,Electronics,Medium,Light,Express,Low,5.4,7.17,Stormy,Festival,E-Wallet,22.39
2107,2025-03-04 07:20:00,Pharmacy,Low,Moderate,Express,Low,5.1,10.21,Snowy,None,E-Wallet,24.53
2108,2025-03-24 04:46:00,Food Delivery,Low,Light,Express,High,5.5,6.56,Clear,Sports Event,Credit Card,10.75
2109,2025-03-16 22:32:00,Food Delivery,Medium,Heavy,Standard,Low,2.2,13.42,Snowy,Sports Event,E-Wallet,35.92
2110,2025-03-12 16:05:00,Food Delivery,Low,Heavy,Standard,Low,1.2,6.75,Clear,Sports Event,Cash,13.69
2111,2025-03-26 23:48:00,Electronics,Low,Heavy,Express,Medium,3.9,12.89,Clear,Festival,Cash,28.15
2112,2025-03-09 10:50:00,Food Delivery,High,Moderate,Standard,High,8.3,7.02,Snowy,Sports Event,E-Wallet,14.09
2113,2025-03-21 17:34:00,Groceries,Low,Light,Standard,High,1.0,9.84,Snowy,None,Credit Card,10.63
2114,2025-03-30 08:40:00,Fashion,High,Moderate,Standard,Low,1.3,8.5,Clear,Sports Event,E-Wallet,20.54
2115,2025-03-12 19:13:00,Food Delivery,High,Moderate,Express,High,1.9,4.58,Stormy,Festival,Debit Card,12.87
2116,2025-03-18 18:14:00,Pharmacy,Medium,Light,Scheduled,Medium,4.5,9.92,Stormy,Festival,E-Wallet,15.32
2117,2025-03-03 19:41:00,Groceries,Medium,Heavy,Standard,Medium,3.6,7.54,Snowy,Sports Event,Credit Card,15.53
2118,2025-03-11 09:11:00,Groceries,Low,Heavy,Standard,High,3.1,14.58,Stormy,Holiday,Cash,24.56
2119,2025-03-18 06:24:00,Food Delivery,Medium,Light,Standard,Low,3.9,14.28,Rainy,Festival,E-Wallet,31.86
2120,2025-03-22 23:20:00,Electronics,Low,Light,Standard,Low,4.4,8.62,Clear,None,Debit Card,11.21
2121,2025-03-10 02:00:00,Pharmacy,Medium,Light,Express,Medium,5.0,9.31,Snowy,Sports Event,Credit Card,22.37
2122,2025-03-13 15:32:00,Groceries,Low,Moderate,Scheduled,High,4.5,4.44,Clear,None,Credit Card,3.96
2123,2025-03-02 03:42:00,Pharmacy,Medium,Light,Express,Medium,1.4,13.4,Rainy,Sports Event,Cash,32.19
2124,2025-03-24 07:43:00,Food Delivery,Medium,Light,Standard,High,2.1,7.79,Clear,Sports Event,Cash,10.03
2125,2025-03-21 23:05:00,Groceries,Medium,Light,Scheduled,Medium,6.8,12.86,Snowy,Holiday,E-Wallet,19.86
2126,2025-03-08 03:27:00,Fashion,Low,Moderate,Express,High,0.7,10.49,Stormy,Holiday,Cash,22.68
2127,2025-03-22 09:39:00,Fashion,Low,Light,Standard,High,5.8,5.78,Clear,Festival,Cash,6.76
2128,2025-03-14 08:38:00,Electronics,Low,Moderate,Standard,Medium,6.0,6.84,Snowy,Holiday,Credit Card,11.74
2129,2025-03-18 10:16:00,Pharmacy,Medium,Heavy,Express,Low,3.1,4.76,Clear,Sports Event,E-Wallet,14.87
2130,2025-03-20 06:15:00,Pharmacy,High,Heavy,Scheduled,Medium,0.5,4.43,Snowy,Sports Event,Debit Card,9.7
2131,2025-03-04 08:40:00,Groceries,High,Heavy,Scheduled,Medium,4.9,8.93,Rainy,None,UPI,15.05
2132,2025-03-08 18:37:00,Fashion,Medium,Light,Express,Medium,2.7,11.66,Snowy,Sports Event,UPI,28.01
2133,2025-03-21 14:34:00,Fashion,High,Moderate,Express,Low,1.3,14.38,Stormy,Festival,E-Wallet,58.38
2134,2025-03-15 23:27:00,Pharmacy,High,Light,Standard,Low,4.3,14.62,Snowy,Sports Event,Credit Card,38.54
2135,2025-03-25 14:32:00,Food Delivery,Low,Moderate,Standard,High,4.5,6.71,Stormy,Holiday,E-Wallet,10.36
2136,2025-03-07 02:06:00,Food Delivery,Low,Heavy,Express,Low,8.2,13.72,Clear,Holiday,Credit Card,38.95
2137,2025-03-06 16:28:00,Pharmacy,High,Moderate,Express,Low,7.6,12.34,Snowy,Sports Event,UPI,50.1
2138,2025-03-19 12:11:00,Pharmacy,High,Heavy,Express,Medium,4.4,13.09,Stormy,Sports Event,UPI,44.6
2139,2025-03-30 12:25:00,Fashion,Low,Moderate,Express,High,3.6,12.57,Clear,None,E-Wallet,17.42
2140,2025-03-17 19:14:00,Electronics,Low,Moderate,Scheduled,Low,6.2,13.35,Rainy,Festival,UPI,26.8
2141,2025-03-09 10:40:00,Food Delivery,Medium,Light,Scheduled,Low,8.2,4.53,Rainy,None,E-Wallet,7.0
2142,2025-03-26 23:44:00,Electronics,High,Light,Standard,High,8.7,13.39,Rainy,None,Debit Card,18.8
2143,2025-03-21 14:01:00,Electronics,Medium,Light,Express,Medium,0.9,13.75,Snowy,Festival,E-Wallet,33.03
2144,2025-03-10 00:10:00,Fashion,High,Moderate,Express,Medium,9.9,13.98,Stormy,Festival,Cash,43.66
2145,2025-03-12 05:44:00,Electronics,Medium,Heavy,Express,High,0.9,10.1,Stormy,Holiday,Credit Card,26.21
2146,2025-03-03 21:28:00,Electronics,Medium,Moderate,Scheduled,High,7.3,6.03,Clear,None,Cash,5.91
2147,2025-03-28 13:08:00,Food Delivery,High,Moderate,Standard,Low,0.6,9.75,Stormy,None,Credit Card,21.75
2148,2025-03-17 08:47:00,Fashion,High,Moderate,Express,Medium,3.4,10.42,Clear,Sports Event,Debit Card,27.12
2149,2025-03-27 01:16:00,Groceries,Medium,Moderate,Express,Medium,7.6,11.42,Stormy,Sports Event,Cash,30.18
2150,2025-03-30 08:10:00,Groceries,Low,Light,Scheduled,Low,8.2,4.42,Rainy,Sports Event,Credit Card,8.07
2151,2025-03-02 03:17:00,Food Delivery,Low,Light,Standard,Medium,3.0,2.93,Clear,Sports Event,Credit Card,3.81
2152,2025-03-29 11:35:00,Pharmacy,Medium,Light,Express,Medium,4.8,12.67,Rainy,Sports Event,Debit Card,30.44
2153,2025-03-03 04:28:00,Groceries,High,Moderate,Standard,High,7.3,14.93,Stormy,Festival,E-Wallet,29.98
2154,2025-03-06 23:24:00,Food Delivery,Medium,Heavy,Scheduled,Low,4.9,5.79,Clear,Holiday,Debit Card,11.62
2155,2025-03-24 14:12:00,Pharmacy,Medium,Moderate,Express,Low,6.7,13.95,Stormy,Holiday,Cash,47.92
2156,2025-03-07 16:22:00,Groceries,High,Heavy,Standard,Low,9.9,3.36,Rainy,Sports Event,Credit Card,10.63
2157,2025-03-29 06:52:00,Electronics,High,Light,Scheduled,Medium,8.1,6.54,Snowy,Sports Event,E-Wallet,11.94
2158,2025-03-19 11:17:00,Pharmacy,High,Light,Scheduled,Medium,2.3,11.35,Clear,Festival,Credit Card,17.26
2159,2025-03-14 23:52:00,Pharmacy,Low,Moderate,Scheduled,High,9.5,10.83,Rainy,None,Debit Card,11.58
2160,2025-03-02 20:57:00,Groceries,Medium,Moderate,Express,Low,6.2,5.46,Clear,Sports Event,UPI,15.63
2161,2025-03-16 05:02:00,Fashion,Medium,Light,Scheduled,Low,2.7,12.89,Rainy,None,Credit Card,19.91
2162,2025-03-03 16:15:00,Food Delivery,Low,Light,Express,Low,4.7,7.97,Clear,None,E-Wallet,14.51
2163,2025-03-04 18:28:00,Pharmacy,High,Moderate,Express,Medium,6.9,8.32,Snowy,Sports Event,Credit Card,25.98
2164,2025-03-22 23:17:00,Food Delivery,Medium,Heavy,Standard,Low,9.0,9.0,Clear,Sports Event,Credit Card,20.08
2165,2025-03-18 22:10:00,Electronics,Low,Light,Standard,Low,2.6,10.5,Clear,None,Cash,13.65
2166,2025-03-30 01:45:00,Electronics,High,Light,Express,High,7.4,2.26,Rainy,Sports Event,Cash,5.77
2167,2025-03-29 14:01:00,Food Delivery,High,Moderate,Express,High,3.4,5.05,Rainy,Sports Event,Debit Card,14.19
2168,2025-03-17 11:34:00,Food Delivery,Low,Moderate,Standard,Low,9.0,6.26,Rainy,None,Cash,10.74
2169,2025-03-08 03:50:00,Food Delivery,Medium,Heavy,Standard,Medium,4.8,4.82,Clear,Holiday,Credit Card,8.27
2170,2025-03-24 16:48:00,Electronics,Medium,Heavy,Express,Medium,5.8,12.36,Snowy,None,E-Wallet,27.41
2171,2025-03-16 15:09:00,Electronics,High,Heavy,Standard,Low,4.4,11.82,Rainy,None,UPI,28.77
2172,2025-03-03 08:10:00,Fashion,Low,Moderate,Standard,High,5.2,2.15,Snowy,Festival,UPI,3.32
2173,2025-03-07 14:35:00,Groceries,Low,Heavy,Scheduled,Low,8.5,3.43,Rainy,Sports Event,E-Wallet,7.51
2174,2025-03-09 18:16:00,Food Delivery,Medium,Moderate,Standard,High,1.2,11.57,Stormy,Sports Event,Cash,19.66
2175,2025-03-24 16:40:00,Food Delivery,Low,Light,Standard,Medium,1.5,14.07,Rainy,None,Credit Card,16.88
2176,2025-03-06 08:15:00,Pharmacy,Medium,Moderate,Express,Medium,6.5,3.07,Rainy,Sports Event,Debit Card,8.11
2177,2025-03-12 03:24:00,Electronics,Medium,Moderate,Scheduled,Low,8.7,12.04,Stormy,None,UPI,20.45
2178,2025-03-11 18:47:00,Electronics,Low,Heavy,Express,High,8.5,2.26,Clear,Festival,Debit Card,4.44
2179,2025-03-12 07:21:00,Groceries,Medium,Light,Scheduled,Low,6.6,9.17,Snowy,Festival,Cash,18.41
2180,2025-03-08 22:39:00,Pharmacy,Medium,Heavy,Express,Medium,7.4,12.15,Snowy,Sports Event,E-Wallet,35.03
2181,2025-03-20 00:35:00,Groceries,High,Light,Express,Medium,4.2,9.05,Rainy,Sports Event,UPI,25.69
2182,2025-03-06 18:32:00,Electronics,Low,Heavy,Express,High,5.1,8.42,Clear,Holiday,Cash,16.55
2183,2025-03-30 13:38:00,Food Delivery,Medium,Light,Standard,High,8.2,10.15,Stormy,None,Cash,12.06
2184,2025-03-09 01:26:00,Food Delivery,Low,Heavy,Standard,Low,9.2,11.03,Snowy,None,E-Wallet,20.65
2185,2025-03-09 22:55:00,Groceries,Medium,Heavy,Scheduled,Medium,2.2,10.65,Rainy,Festival,E-Wallet,19.74
2186,2025-03-20 20:40:00,Pharmacy,Low,Moderate,Scheduled,Low,3.4,3.75,Snowy,Festival,Credit Card,7.53
2187,2025-03-18 16:31:00,Groceries,Medium,Light,Standard,High,5.2,11.48,Rainy,Holiday,Credit Card,17.73
2188,2025-03-18 07:58:00,Food Delivery,High,Moderate,Scheduled,Low,9.6,5.07,Clear,Sports Event,Cash,11.03
2189,2025-03-16 12:17:00,Electronics,Low,Moderate,Standard,Medium,7.4,8.95,Stormy,Festival,Cash,15.36
2190,2025-03-08 17:32:00,Food Delivery,High,Light,Express,High,7.2,6.09,Stormy,Festival,UPI,15.56
2191,2025-03-02 06:38:00,Electronics,Low,Moderate,Scheduled,Medium,4.9,4.43,Rainy,None,UPI,5.26
2192,2025-03-24 22:04:00,Food Delivery,Medium,Moderate,Scheduled,High,6.1,13.97,Snowy,Holiday,UPI,21.36
2193,2025-03-15 13:35:00,Electronics,Medium,Moderate,Express,Low,5.3,5.83,Stormy,None,UPI,15.41
2194,2025-03-28 19:40:00,Groceries,High,Heavy,Express,Medium,7.0,7.2,Rainy,Holiday,UPI,24.53
2195,2025-03-21 04:19:00,Fashion,Low,Heavy,Express,Medium,2.2,11.84,Stormy,None,Credit Card,23.87
2196,2025-03-24 15:12:00,Fashion,Medium,Light,Standard,High,6.3,11.81,Clear,None,E-Wallet,11.69
2197,2025-03-09 02:48:00,Electronics,High,Moderate,Express,Medium,1.2,5.27,Rainy,Holiday,UPI,16.46
2198,2025-03-24 07:04:00,Fashion,Medium,Heavy,Standard,High,5.1,11.33,Snowy,Festival,UPI,21.0
2199,2025-03-19 18:45:00,Food Delivery,Medium,Moderate,Express,Medium,8.6,13.17,Snowy,None,E-Wallet,26.77
2200,2025-03-21 09:36:00,Electronics,High,Light,Express,Low,7.9,4.81,Stormy,Sports Event,UPI,17.75
2201,2025-03-16 16:33:00,Pharmacy,Medium,Heavy,Scheduled,Low,1.3,8.59,Snowy,Festival,UPI,20.7
2202,2025-03-29 00:14:00,Groceries,High,Moderate,Standard,Low,3.6,8.91,Clear,Sports Event,Cash,21.53
2203,2025-03-22 09:42:00,Pharmacy,High,Heavy,Standard,Medium,7.0,13.91,Snowy,Holiday,Cash,33.85
2204,2025-03-06 14:21:00,Pharmacy,Medium,Heavy,Standard,Medium,8.0,3.3,Rainy,Holiday,E-Wallet,6.8
2205,2025-03-20 21:11:00,Electronics,Low,Heavy,Standard,Medium,7.8,13.55,Rainy,None,UPI,19.51
2206,2025-03-08 07:04:00,Electronics,Medium,Heavy,Standard,High,8.2,9.88,Rainy,Festival,Debit Card,18.31
2207,2025-03-26 07:59:00,Pharmacy,Low,Heavy,Scheduled,High,2.4,10.42,Snowy,Holiday,Credit Card,15.8
2208,2025-03-16 18:46:00,Groceries,Low,Heavy,Standard,Low,1.6,7.98,Stormy,None,Debit Card,14.94
2209,2025-03-08 20:06:00,Food Delivery,Low,Light,Scheduled,Low,0.9,3.13,Snowy,Holiday,Cash,5.71
2210,2025-03-12 04:53:00,Food Delivery,Low,Moderate,Express,Low,0.5,12.93,Snowy,Holiday,UPI,40.38
2211,2025-03-27 17:57:00,Food Delivery,Low,Light,Standard,High,1.6,2.37,Snowy,Sports Event,Credit Card,3.33
2212,2025-03-28 20:18:00,Electronics,Medium,Light,Scheduled,Medium,5.5,3.85,Rainy,Festival,UPI,5.95
2213,2025-03-03 03:15:00,Fashion,High,Light,Standard,High,1.6,3.6,Stormy,Festival,Debit Card,6.57
2214,2025-03-26 01:59:00,Food Delivery,Medium,Light,Standard,Low,7.3,6.21,Stormy,Holiday,Debit Card,13.85
2215,2025-03-22 12:11:00,Pharmacy,High,Moderate,Standard,High,4.8,12.24,Stormy,Sports Event,Debit Card,24.57
2216,2025-03-07 18:03:00,Pharmacy,Low,Light,Standard,Low,1.5,13.85,Rainy,Festival,Debit Card,28.09
2217,2025-03-04 19:29:00,Food Delivery,Low,Heavy,Scheduled,High,4.6,7.57,Snowy,Holiday,E-Wallet,11.48
2218,2025-03-22 18:09:00,Food Delivery,High,Light,Standard,High,4.5,10.97,Rainy,None,Cash,15.4
